iter	Passed	Remaining
416	101265	141577
417	101504	141329
418	101730	141063
419	101973	140820
420	102211	140570
421	102454	140329
422	102692	140079
423	102943	139847
424	103315	139779
425	103599	139591
426	103872	139388
427	104132	139167
428	104408	138968
429	104687	138771
430	104955	138560
431	105220	138345
432	105510	138162
433	105806	137987
434	106091	137797
435	106386	137618
436	106654	137406
437	106925	137197
438	107225	137023
439	107517	136840
440	107812	136660
441	108085	136452
442	108388	136281
443	108690	136107
444	108961	135895
445	109249	135704
446	109530	135504
447	109821	135316
448	110094	135105
449	110393	134925
450	110752	134817
451	111037	134621
452	111345	134450
453	111631	134252
454	111921	134059
455	112180	133829
456	112446	133607
457	112707	133378
458	112968	133150
459	113310	133017
460	113543	132754
461	113794	132514
462	114052	132281
463	114308	132046
464	114556	131801
465	114778	131527
466	115011	131265
467	115231	130989
468	115472	130737
469	115711	130483
470	116010	130295
471	116266	130061
472	116511	129813
473	116780	129591
474	117014	129331
475	117239	129061
476	117474	128802
477	117698	128533
478	117920	128260
479	118154	128000
480	118387	127740
481	118624	127484
482	118850	127217
483	119066	126938
484	119300	126679
485	119540	126428
486	119794	126190
487	120015	125917
488	120272	125683
489	120497	125416
490	120770	125197
491	121056	124993
492	121298	124742
493	121589	124543
494	121868	124330
495	122161	124132
496	122428	123906
497	122708	123693
498	122963	123456
499	123217	123217
500	123486	122993
501	123744	122758
502	124002	122523
503	124233	122261
504	124479	122014
505	124724	121767
506	124981	121530
507	125211	121267
508	125426	120990
509	125643	120715
510	125851	120433
511	126082	120172
512	126307	119905
513	126524	119631
514	126746	119363
515	126983	119108
516	127197	118832
517	127422	118566
518	127639	118293
519	127860	118024
520	128102	117775
521	128323	117506
522	128539	117233
523	128752	116957
524	128991	116706
525	129205	116432
526	129418	116157
527	129630	115881
528	129863	115625
529	130083	115356
530	130306	115091
531	130556	114850
532	130808	114610
533	131042	114355
534	131258	114084
535	131501	113836
536	131741	113587
537	132010	113362
538	132268	113127
539	132505	112875
540	132741	112621
541	132977	112368
542	133202	112106
543	133432	111848
544	133676	111601
545	133904	111341
546	134143	111091
547	134385	110843
548	134619	110588
549	134876	110353
550	135140	110123
551	135406	109894
552	135679	109671
553	135973	109465
554	136244	109240
555	136499	109003
556	136750	108761
557	137013	108530
558	137259	108285
559	137509	108043
560	137735	107782
561	137947	107510
562	138177	107253
563	138424	107009
564	138654	106751
565	138887	106496
566	139118	106240
567	139360	105992
568	139592	105737
569	139827	105484
570	140061	105230
571	140323	104997
572	140568	104751
573	140809	104503
574	141047	104252
575	141278	103996
576	141513	103743
577	141753	103494
578	141979	103235
579	142228	102993
580	142462	102739
581	142691	102482
582	142919	102225
583	143137	101960
584	143369	101706
585	143595	101447
586	143825	101192
587	144048	100931
588	144265	100667
589	144486	100406
590	144751	100175
591	144989	99924
592	145221	99671
593	145444	99411
594	145712	99182
595	145967	98944
596	146234	98714
597	146494	98479
598	146748	98240
599	146995	97996
600	147226	97742
601	147475	97500
602	147718	97253
603	147967	97011
604	148226	96775
605	148479	96536
606	148730	96295
607	148980	96053
608	149218	95803
609	149443	95545
610	149678	95294
611	149912	95042
612	150182	94813
613	150439	94576
614	150705	94344
615	150962	94106
616	151218	93868
617	151470	93627
618	151741	93397
619	152035	93183
620	152329	92967
621	152588	92730
622	152832	92484
623	153077	92239
624	153390	92034
625	153686	91819
626	154029	91631
627	154304	91403
628	154544	91154
629	154784	90904
630	155036	90663
631	155287	90420
632	155544	90181
633	155805	89944
634	156121	89739
635	156443	89536
636	156695	89294
637	156960	89059
638	157196	88807
639	157455	88568
640	157688	88315
641	157934	88069
642	158183	87824
643	158430	87579
644	158681	87336
645	158920	87086
646	159165	86839
647	159393	86584
648	159621	86328
649	159846	86071
650	160062	85809
651	160286	85551
652	160520	85299
653	160755	85048
654	160986	84794
655	161228	84546
656	161451	84289
657	161693	84041
658	161911	83781
659	162143	83528
660	162386	83281
661	162604	83021
662	162849	82775
663	163088	82526
664	163313	82270
665	163550	82020
666	163767	81760
667	163985	81501
668	164218	81250
669	164442	80994
670	164668	80739
671	164878	80476
672	165099	80218
673	165353	79977
674	165574	79721
675	165840	79485
676	166078	79236
677	166331	78995
678	166569	78746
679	166795	78491
680	167039	78246
681	167348	78030
682	167604	77790
683	167842	77541
684	168118	77310
685	168350	77058
686	168640	76833
687	168922	76604
688	169239	76391
689	169466	76136
690	169725	75897
691	169966	75649
692	170202	75399
693	170434	75148
694	170665	74896
695	170902	74647
696	171137	74397
697	171379	74149
698	171662	73920
699	171913	73677
700	172149	73427
701	172374	73173
702	172631	72932
703	172894	72694
704	173162	72458
705	173455	72232
706	173709	71990
707	173960	71746
708	174210	71502
709	174492	71271
710	174795	71049
711	175061	70811
712	175335	70577
713	175574	70328
714	175806	70076
715	176037	69825
716	176291	69582
717	176541	69338
718	176774	69086
719	177033	68846
720	177332	68621
721	177580	68375
722	177805	68121
723	178026	67866
724	178261	67616
725	178479	67360
726	178706	67107
727	178918	66848
728	179146	66596
729	179395	66351
730	179625	66100
731	179877	65856
732	180117	65608
733	180341	65355
734	180556	65098
735	180797	64851
736	181020	64597
737	181282	64357
738	181499	64102
739	181720	63847
740	181951	63597
741	182162	63339
742	182371	63081
743	182586	62825
744	182796	62568
745	183017	62314
746	183222	62055
747	183444	61802
748	183663	61548
749	183891	61297
750	184146	61055
751	184368	60802
752	184582	60547
753	184799	60292
754	185022	60040
755	185256	59791
756	185487	59542
757	185708	59289
758	185942	59040
759	186189	58796
760	186418	58546
761	186634	58292
762	186887	58050
763	187132	57805
764	187380	57561
765	187615	57313
766	187829	57059
767	188068	56812
768	188288	56560
769	188500	56305
770	188714	56051
771	188934	55799
772	189147	55545
773	189365	55292
774	189594	55043
775	189811	54790
776	190031	54539
777	190258	54289
778	190484	54040
779	190729	53795
780	190968	53549
781	191196	53300
782	191401	53044
783	191610	52790
784	191828	52538
785	192066	52292
786	192315	52049
787	192577	51810
788	192801	51560
789	193036	51313
790	193273	51067
791	193516	50822
792	193747	50574
793	193973	50325
794	194212	50079
795	194432	49829
796	194655	49579
797	194867	49327
798	195082	49075
799	195304	48826
800	195524	48575
801	195741	48325
802	195979	48079
803	196201	47830
804	196425	47581
805	196664	47336
806	196918	47094
807	197156	46849
808	197411	46607
809	197648	46362
810	197886	46116
811	198091	45863
812	198318	45615
813	198560	45371
814	198788	45123
815	199022	44877
816	199253	44630
817	199481	44383
818	199698	44133
819	199922	43885
820	200153	43638
821	200392	43393
822	200627	43148
823	200854	42900
824	201068	42650
825	201285	42401
826	201502	42152
827	201723	41903
828	201953	41657
829	202167	41407
830	202387	41159
831	202597	40909
832	202829	40663
833	203101	40425
834	203362	40185
835	203630	39946
836	203889	39706
837	204137	39463
838	204371	39217
839	204615	38974
840	204872	38733
841	205115	38489
842	205352	38244
843	205562	37995
844	205785	37747
845	206006	37499
846	206257	37257
847	206486	37011
848	206696	36762
849	206914	36514
850	207134	36266
851	207363	36020
852	207594	35775
853	207857	35535
854	208093	35290
855	208345	35048
856	208588	34805
857	208850	34564
858	209109	34324
859	209351	34080
860	209570	33833
861	209825	33591
862	210108	33354
863	210392	33117
864	210665	32878
865	210950	32641
866	211184	32396
867	211396	32147
868	211620	31901
869	211860	31657
870	212087	31411
871	212304	31164
872	212530	30917
873	212753	30671
874	213016	30430
875	213266	30188
876	213521	29946
877	213786	29706
878	214061	29466
879	214321	29225
880	214635	28991
881	214957	28758
882	215241	28520
883	215554	28285
884	215835	28046
885	216115	27807
886	216376	27565
887	216623	27321
888	216864	27077
889	217123	26835
890	217385	26593
891	217651	26352
892	217908	26109
893	218158	25866
894	218430	25625
895	218722	25387
896	218998	25147
897	219278	24906
898	219563	24667
899	219889	24432
900	220186	24193
901	220468	23953
902	220780	23716
903	221106	23480
904	221425	23243
905	221704	23002
906	222010	22764
907	222275	22521
908	222522	22276
909	222771	22032
910	223092	21795
911	223409	21557
912	223660	21312
913	223894	21066
914	224133	20821
915	224453	20583
916	224767	20344
917	225067	20104
918	225366	19863
919	225631	19620
920	225892	19376
921	226138	19131
922	226397	18886
923	226642	18641
924	226904	18397
925	227146	18152
926	227376	17905
927	227643	17662
928	227957	17421
929	228241	17179
930	228532	16937
931	228789	16692
932	229076	16450
933	229340	16206
934	229585	15960
935	229840	15715
936	230054	15467
937	230287	15221
938	230556	14977
939	230811	14732
940	231073	14488
941	231360	14245
942	231630	14000
943	231870	13755
944	232102	13508
945	232342	13262
946	232594	13017
947	232821	12770
948	233056	12524
949	233296	12278
950	233527	12032
951	233765	11786
952	233988	11539
953	234239	11294
954	234470	11048
955	234715	10802
956	234950	10556
957	235179	10310
958	235420	10064
959	235681	9820
960	235924	9574
961	236155	9328
962	236405	9083
963	236645	8837
964	236875	8591
965	237114	8345
966	237366	8100
967	237618	7855
968	237840	7608
969	238072	7363
970	238295	7116
971	238532	6871
972	238782	6626
973	239057	6381
974	239297	6135
975	239541	5890
976	239826	5645
977	240126	5401
978	240381	5156
979	240615	4910
980	240860	4664
981	241092	4419
982	241329	4173
983	241585	3928
984	241861	3683
985	242093	3437
986	242371	3192
987	242616	2946
988	242859	2701
989	243123	2455
990	243376	2210
991	243633	1964
992	243910	1719
993	244176	1473
994	244441	1228
995	244715	982
996	244989	737
997	245243	491
998	245507	245
999	245760	0
